id,cliente_id,valor,data,intervalo
2555,73,-1.0,2020-12-17 21:40:40-03:00,0 days 00:00:55
2557,73,-1.0,2020-12-17 21:41:52-03:00,0 days 00:01:12
2567,73,-1.0,2020-12-17 22:11:00-03:00,0 days 00:00:17
2568,73,-1.0,2020-12-17 22:11:51-03:00,0 days 00:00:51
2569,73,-2.0,2020-12-17 22:12:22-03:00,0 days 00:00:31
2570,73,-2.0,2020-12-17 22:12:45-03:00,0 days 00:00:23
2571,73,-2.0,2020-12-17 22:13:06-03:00,0 days 00:00:21
2573,73,-2.0,2020-12-17 22:41:56-03:00,0 days 00:00:30
2574,73,-1.0,2020-12-17 22:42:21-03:00,0 days 00:00:25
2575,73,-1.0,2020-12-17 22:42:48-03:00,0 days 00:00:27
2576,73,-102.0,2020-12-17 22:43:12-03:00,0 days 00:00:24
2577,73,-1.0,2020-12-17 22:44:12-03:00,0 days 00:01:00
2581,73,-2.0,2020-12-17 22:47:44-03:00,0 days 00:00:49
2608,73,-1.0,2020-12-18 19:01:16-03:00,0 days 00:00:20
2609,73,-1.0,2020-12-18 19:01:37-03:00,0 days 00:00:21
2633,73,-5.0,2020-12-18 21:08:35-03:00,0 days 00:00:41
2637,73,-2.0,2020-12-18 21:25:20-03:00,0 days 00:00:26
2638,73,-2.0,2020-12-18 21:25:46-03:00,0 days 00:00:26
2639,73,-5.0,2020-12-18 21:26:20-03:00,0 days 00:00:34
2645,73,-1.0,2020-12-18 21:30:24-03:00,0 days 00:00:20
2646,73,-3.0,2020-12-18 21:30:41-03:00,0 days 00:00:17
2647,73,-1.0,2020-12-18 21:31:00-03:00,0 days 00:00:19
2652,73,-2.0,2020-12-18 21:44:37-03:00,0 days 00:01:08
2654,73,-5.0,2020-12-18 21:48:13-03:00,0 days 00:00:43
2665,73,-1.0,2020-12-18 22:13:14-03:00,0 days 00:00:35
2666,73,-1.0,2020-12-18 22:13:40-03:00,0 days 00:00:26
2667,73,-2.0,2020-12-18 22:14:03-03:00,0 days 00:00:23
2668,73,-3.0,2020-12-18 22:14:53-03:00,0 days 00:00:50
2671,73,-1.0,2020-12-18 22:25:42-03:00,0 days 00:00:37
2672,73,-1.0,2020-12-18 22:26:12-03:00,0 days 00:00:30
2673,73,-2.0,2020-12-18 22:26:34-03:00,0 days 00:00:22
2674,73,-1.0,2020-12-18 22:26:56-03:00,0 days 00:00:22
2675,73,-1.0,2020-12-18 22:27:17-03:00,0 days 00:00:21
2683,73,-2.0,2020-12-18 22:45:34-03:00,0 days 00:00:45
2685,73,-2.0,2020-12-18 22:46:56-03:00,0 days 00:01:22
2687,73,-5.0,2020-12-18 22:50:55-03:00,0 days 00:00:28
2707,73,-10.0,2020-12-20 14:08:45-03:00,0 days 00:01:04
2708,73,-50.0,2020-12-20 14:10:05-03:00,0 days 00:01:20
2726,73,-2.0,2020-12-21 20:27:00-03:00,0 days 00:00:43
2740,73,-1.0,2020-12-21 21:36:47-03:00,0 days 00:00:25
2746,73,-2.0,2020-12-21 21:43:20-03:00,0 days 00:00:21
2755,73,-3.0,2020-12-21 22:03:46-03:00,0 days 00:00:38
2756,73,-2.0,2020-12-21 22:04:33-03:00,0 days 00:00:47
2795,73,-2.0,2020-12-22 20:11:53-03:00,0 days 00:00:39
2796,73,-10.0,2020-12-22 20:13:21-03:00,0 days 00:01:28
2797,73,-2.0,2020-12-22 20:14:06-03:00,0 days 00:00:45
2800,73,-2.0,2020-12-22 20:43:19-03:00,0 days 00:00:18
2801,73,-2.0,2020-12-22 20:43:35-03:00,0 days 00:00:16
2810,73,-1.0,2020-12-22 21:49:15-03:00,0 days 00:00:18
2817,73,-2.0,2020-12-22 22:19:38-03:00,0 days 00:00:42
2818,73,-1.0,2020-12-22 22:20:00-03:00,0 days 00:00:22
2819,73,-1.0,2020-12-22 22:20:12-03:00,0 days 00:00:12
2820,73,-1.0,2020-12-22 22:20:58-03:00,0 days 00:00:46
2821,73,-3.0,2020-12-22 22:21:26-03:00,0 days 00:00:28
2849,73,-2.0,2020-12-23 21:42:57-03:00,0 days 00:00:17
2877,73,-1.0,2020-12-26 21:18:56-03:00,0 days 00:00:16
2885,73,-2.0,2020-12-28 20:11:00-03:00,0 days 00:00:33
2891,73,-2.0,2020-12-29 19:36:19-03:00,0 days 00:01:03
2897,73,-1.0,2020-12-29 19:48:41-03:00,0 days 00:00:17
2898,73,-1.0,2020-12-29 19:48:57-03:00,0 days 00:00:16
2910,73,-1.0,2020-12-29 20:16:53-03:00,0 days 00:00:28
2911,73,-1.0,2020-12-29 20:17:19-03:00,0 days 00:00:26
2913,73,-2.0,2020-12-29 20:56:57-03:00,0 days 00:00:24
2915,73,-2.0,2020-12-29 21:12:37-03:00,0 days 00:00:39
2964,73,-1.0,2021-01-08 19:30:09-03:00,0 days 00:01:33
2965,73,-1.0,2021-01-08 19:30:37-03:00,0 days 00:00:28
30,74,-2.0,2019-09-05 12:09:07-03:00,0 days 00:00:15
31,74,-2.0,2019-09-05 12:09:30-03:00,0 days 00:00:23
32,74,-2.0,2019-09-05 12:09:45-03:00,0 days 00:00:15
33,74,-100.0,2019-09-05 12:11:11-03:00,0 days 00:01:26
41,74,-2.0,2019-09-05 17:25:14-03:00,0 days 00:00:34
42,74,-2.0,2019-09-05 17:26:20-03:00,0 days 00:01:06
631,74,-10.0,2020-06-09 10:33:43-03:00,0 days 00:01:24
635,74,-5.0,2020-06-12 10:04:52-03:00,0 days 00:00:42
637,74,-10.0,2020-06-12 10:33:00-03:00,0 days 00:01:59
649,74,-15.0,2020-06-14 11:44:31-03:00,0 days 00:00:57
651,74,-5.0,2020-06-14 11:48:38-03:00,0 days 00:00:54
1353,74,-2.0,2020-10-23 19:02:26-03:00,0 days 00:00:56
1372,74,-10.0,2020-10-29 20:04:13-03:00,0 days 00:00:29
1373,74,-10.0,2020-10-29 20:04:34-03:00,0 days 00:00:21
1403,74,-100.0,2020-11-06 15:18:39-03:00,0 days 00:00:25
1427,74,-10.0,2020-11-11 12:21:42-03:00,0 days 00:00:26
1432,74,-200.0,2020-11-11 15:04:19-03:00,0 days 00:00:17
1602,74,-1.0,2020-11-25 21:55:36-03:00,0 days 00:00:20
1641,74,-1.0,2020-11-27 16:52:54-03:00,0 days 00:01:57
1644,74,-5.0,2020-11-27 17:02:09-03:00,0 days 00:00:32
1662,74,-1.0,2020-11-28 13:20:28-03:00,0 days 00:00:39
1663,74,-1.0,2020-11-28 13:21:36-03:00,0 days 00:01:08
1664,74,-1.0,2020-11-28 13:21:58-03:00,0 days 00:00:22
1665,74,-1.0,2020-11-28 13:23:27-03:00,0 days 00:01:29
1669,74,-1.0,2020-11-28 13:36:51-03:00,0 days 00:00:20
1670,74,-1.0,2020-11-28 13:37:16-03:00,0 days 00:00:25
1671,74,-1.0,2020-11-28 13:37:38-03:00,0 days 00:00:22
1672,74,-1.0,2020-11-28 13:38:07-03:00,0 days 00:00:29
1701,74,-1.0,2020-11-29 20:18:02-03:00,0 days 00:00:32
1702,74,-5.0,2020-11-29 20:18:26-03:00,0 days 00:00:24
1707,74,-10.0,2020-11-29 20:34:37-03:00,0 days 00:00:48
1709,74,-1.0,2020-11-29 20:59:30-03:00,0 days 00:01:40
1712,74,-1.0,2020-11-29 21:00:35-03:00,0 days 00:01:05
1713,74,-1.0,2020-11-29 21:01:06-03:00,0 days 00:00:31
1714,74,-1.0,2020-11-29 21:01:35-03:00,0 days 00:00:29
1718,74,-1.0,2020-11-29 21:13:41-03:00,0 days 00:00:24
1719,74,-1.0,2020-11-29 21:13:59-03:00,0 days 00:00:18
1720,74,-1.0,2020-11-29 21:14:23-03:00,0 days 00:00:24
1726,74,-1.0,2020-11-29 21:30:57-03:00,0 days 00:00:23
1727,74,-1.0,2020-11-29 21:31:17-03:00,0 days 00:00:20
1728,74,-1.0,2020-11-29 21:32:01-03:00,0 days 00:00:44
1729,74,-1.0,2020-11-29 21:33:11-03:00,0 days 00:01:10
